StudentStressSurvey_Id,Textbooks And Course,"Online Resources (eg Educational Websites, Ebooks)",Video lectures or tutorials,Audio recording and wildcard,Library Resources,Hostel Doom Room,School Libarary,Study Hall Common Areas,Cafes,"Outdoor (Parks, Campus Ground)",Desktop,Laptop,Tablets,Smartphone,Traditional Notes,How Often Do You Take Breaks During A Typical Study Session,What Are Your Primary Methods For Retaining Information,How Do You Assess Your Understanding And Retention Of Study Materials,What Challenges Do You Face Most Often When Studying,On Average How Many Hours Do You Spend Studying Each Day,Are You Involved In Any Extracurricular Activities,Which Types Of Extracurricular Activities Are You InvolvedI n,How Would You Rate Your Overall Health Currently,How Would You Rate Your Stress Level During This Academic Term,To What Extent Do You Believe Stress Affects Your Physical Health,Indicate How Much Academic Workload Contribute to stress,How Pressure To Perform Well In Exams Significantly Impacts My Stress Levels,How Time Constraints Significantly Increase My Stress Levels During Examinations,Lack Of SleepIs A Frequent Issue For Me During Exam Periods,My Eating Habits Worsen During Exam Periods,How Frequently Do You Experience Health Issues Such As Headaches Or Other Minor Ailments,When You Experience These Health Issues How Do They Affect Your Ability To Study,What Measures Do You Take To Manage Minor Ailments Like Headaches When Studying,How Would You Describe The Quality Of Your Sleep On Most Nights,On Average How Many Hours Of Sleep Do You Get On A Typical Night During The School Week,Do You Believe That Your Diet Affects Your Academic Performance,How Would You Rate Your Overall Diet In Terms Of Nutritional Balance,If You Were To Use An Examination Routine Manager How Many Courses Would You Want It To Handle Concurrently
145,4,3,3,3,2,3,3,3,3,3,3,3,3,2,1,Every two hours,Creating and reviewing flashcards,Writing summaries or essays,Lack of motivation,1-3 hours,No (Go to 3),Other (Please specify),,,,Quite a bit,,,,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
144,4,2,2,3,2,3,2,3,2,2,4,2,3,3,0,Every two hours,Creating and reviewing flashcards,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)",,,Moderate,,,,,,Occasionally,Moderately affects my studying,Seek medical advice,"Average - My sleep is interrupted, and I sometimes wake up tired.",Less than 3 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
143,3,3,3,3,1,2,3,3,3,3,3,2,2,3,2,Every two hours,Creating and reviewing flashcards,Writing summaries or essays,Lack of motivation,4-6 hours,Yes (Go to 2.10),Volunteer work,High,Moderate,Moderate,Moderately,Moderately,Quite a bit,Moderately,Quite a bit,Rarely,Severely affects my studying,Take medication,"Average - My sleep is interrupted, and I sometimes wake up tired.",Less than 3 hours,Not at all - My diet does not affect my academics.,Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
142,4,2,4,3,4,3,3,3,3,4,3,3,3,3,3,Every hour,Creating and reviewing flashcards,Discussing topics with peers or instructors,Lack of motivation,4-6 hours,Yes (Go to 2.10),Student government,High,Moderate,High,Moderately,Moderately,Moderately,Moderately,Moderately,Rarely,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)",Poor - I frequently have difficulty sleeping and often wake up feeling tired.,Less than 3 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
141,3,2,2,2,2,2,2,2,2,1,3,2,1,2,3,Every two hours,Summarizing topics in my own words,Writing summaries or essays,Difficulty understanding the material,4-6 hours,No (Go to 3),Volunteer work,,High,,,,,,,Occasionally,Moderately affects my studying,Financial assistance,"Average - My sleep is interrupted, and I sometimes wake up tired.",Less than 3 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
140,3,2,0,3,3,2,2,4,2,3,2,2,3,2,0,Every two hours,Teaching the material to someone else,Applying concepts to practical problems or case studies,"Distractions (e.g., social media, noise)",4-6 hours,No (Go to 3),,High,High,Moderate,Moderately,Moderately,Moderately,Moderately,Slightly,,Moderately affects my studying,Take a break/rest,"Good - I sleep well enough, but occasionally wake up feeling tired.",Less than 3 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Not nutritious - My diet is poor and not balanced.,5-6 courses
139,4,2,3,3,1,3,2,3,3,2,3,2,2,3,1,Every hour,Creating and reviewing flashcards,Writing summaries or essays,"Distractions (e.g., social media, noise)",1-3 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)",High,,,,,,,,Rarely,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",Less than 3 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
138,3,2,0,2,2,4,2,2,2,3,4,2,2,3,0,Every two hours,Summarizing topics in my own words,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,No (Go to 3),Other (Please specify),,,,Moderately,,,,,Rarely,Moderately affects my studying,Seek medical advice,"Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
137,1,3,2,1,3,2,2,2,1,3,3,2,2,2,2,Every two hours,Summarizing topics in my own words,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,No (Go to 3),Other (Please specify),,,,,,Quite a bit,,,Rarely,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",Less than 3 hours,,Moderately nutritious - My diet is somewhat balanced but could be better.,
136,1,2,1,1,1,1,1,1,1,1,1,2,1,1,0,Every 30 minutes,Re-reading notes and textbooks,Taking practice tests or quizzes,Procrastination,Less than 1 hour,Yes (Go to 2.10),Sports,,,,,,,Quite a bit,,Very frequently,Severely affects my studying,Take medication,Very good - I sleep soundly and wake up feeling refreshed.,7-9 hours,Significantly - A good diet boosts my academic performance.,Very nutritious - My diet is well balanced and includes a variety of foods.,1-2 courses
135,4,3,2,3,3,4,2,3,3,3,4,3,3,3,0,Every two hours,Summarizing topics in my own words,Writing summaries or essays,Lack of motivation,1-3 hours,No (Go to 3),Other (Please specify),,,,,,,Moderately,,Rarely,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
134,3,2,2,3,2,1,2,1,2,2,1,3,2,2,1,Every hour,Creating and reviewing flashcards,Writing summaries or essays,Difficulty understanding the material,1-3 hours,No (Go to 3),Other (Please specify),,,,,,,,Quite a bit,Very frequently,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",Less than 3 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
133,4,3,2,2,3,1,2,2,1,1,1,1,1,1,4,Every hour,Summarizing topics in my own words,Applying concepts to practical problems or case studies,Difficulty understanding the material,1-3 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)",,,,,,,,Quite a bit,Rarely,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
132,3,2,3,2,2,2,3,2,1,1,1,1,1,1,2,Every hour,Creating and reviewing flashcards,Applying concepts to practical problems or case studies,Lack of motivation,4-6 hours,Yes (Go to 2.10),Music or Arts,High,,,,,,,,,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)",Very good - I sleep soundly and wake up feeling refreshed.,7-9 hours,Significantly - A good diet boosts my academic performance.,Very nutritious - My diet is well balanced and includes a variety of foods.,1-2 courses
131,3,2,2,4,2,4,2,2,2,2,3,3,3,3,3,I rarely take breaks during a study session,Summarizing topics in my own words,Writing summaries or essays,Lack of motivation,1-3 hours,No (Go to 3),Other (Please specify),,,,,,,,,Rarely,Slightly affects my studying,,"Good - I sleep well enough, but occasionally wake up feeling tired.",3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
130,1,4,2,2,3,2,2,2,1,4,2,2,4,2,1,Every hour,Creating and reviewing flashcards,Discussing topics with peers or instructors,Difficulty understanding the material,1-3 hours,Yes (Go to 2.10),Music or Arts,,,,,,Extremely,,,Occasionally,Moderately affects my studying,Seek medical advice,"Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
129,0,4,0,0,0,0,0,4,0,0,0,4,0,0,3,Every two hours,Using mnemonic devices,Writing summaries or essays,Time management,4-6 hours,No (Go to 3),Other (Please specify),,,,,,,,,Rarely,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)",Poor - I frequently have difficulty sleeping and often wake up feeling tired.,Less than 3 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
128,2,3,0,0,0,0,2,0,0,0,3,0,0,0,4,Every hour,Teaching the material to someone else,Writing summaries or essays,Lack of motivation,1-3 hours,Yes (Go to 2.10),Volunteer work,,,,Quite a bit,,,,,Occasionally,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Good - I sleep well enough, but occasionally wake up feeling tired.",3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
127,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4,Every two hours,Creating and reviewing flashcards,Discussing topics with peers or instructors,Difficulty understanding the material,1-3 hours,Yes (Go to 2.10),Volunteer work,,High,,,,,,,Occasionally,Severely affects my studying,Take medication,"Average - My sleep is interrupted, and I sometimes wake up tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
126,4,0,0,0,0,0,0,2,0,0,0,1,0,0,2,Every 30 minutes,Creating and reviewing flashcards,Discussing topics with peers or instructors,Difficulty understanding the material,1-3 hours,No (Go to 3),Other (Please specify),,,,,,,Extremely,,Rarely,Slightly affects my studying,,Poor - I frequently have difficulty sleeping and often wake up feeling tired.,3-5 hours,Significantly - A good diet boosts my academic performance.,Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
125,0,2,0,0,0,0,0,2,0,0,0,0,2,0,4,Every two hours,Teaching the material to someone else,Writing summaries or essays,Lack of motivation,1-3 hours,Yes (Go to 2.10),Volunteer work,,,,,,Extremely,,,Very frequently,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
124,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Every hour,Creating and reviewing flashcards,Writing summaries or essays,Difficulty understanding the material,More than 6 hours,No (Go to 3),"Clubs (e.g., debate, science)",,,,Extremely,,,,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",7-9 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
123,3,3,3,3,3,3,2,2,3,3,3,3,4,3,0,Every two hours,Creating and reviewing flashcards,Writing summaries or essays,Difficulty understanding the material,1-3 hours,No (Go to 3),Other (Please specify),,,Very High,,,,,,Occasionally,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
122,4,2,3,3,2,2,2,2,2,1,2,1,2,1,3,Every hour,Summarizing topics in my own words,Applying concepts to practical problems or case studies,Lack of motivation,Less than 1 hour,Yes (Go to 2.10),Volunteer work,,,,,,,Quite a bit,,Occasionally,Severely affects my studying,Take medication,"Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
121,3,2,3,2,2,4,3,3,3,3,3,3,2,3,3,Every two hours,Teaching the material to someone else,Writing summaries or essays,Lack of motivation,Less than 1 hour,Yes (Go to 2.10),Music or Arts,,,,,,Quite a bit,,,Occasionally,Moderately affects my studying,Take a break/rest,"Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
120,3,2,2,2,2,3,2,3,3,2,2,2,1,1,3,Every hour,Creating and reviewing flashcards,Writing summaries or essays,Difficulty understanding the material,1-3 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)",,,,Quite a bit,,,,,Occasionally,Slightly affects my studying,Seek medical advice,"Good - I sleep well enough, but occasionally wake up feeling tired.",3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
119,2,1,3,2,0,1,0,2,2,0,2,3,0,1,3,Every two hours,Summarizing topics in my own words,Writing summaries or essays,Lack of motivation,1-3 hours,No (Go to 3),,,Very High,,,Quite a bit,,,,Very frequently,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",Less than 3 hours,Not at all - My diet does not affect my academics.,Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
118,2,3,3,2,3,4,4,3,2,2,3,1,2,3,2,Every two hours,Summarizing topics in my own words,Applying concepts to practical problems or case studies,Time management,4-6 hours,No (Go to 3),Other (Please specify),,,,,,,Quite a bit,,Rarely,Slightly affects my studying,F. Other (Please specify),Very poor - I rarely have a good night's sleep and consistently wake up feeling unrested.,More than 9 hours,Not at all - My diet does not affect my academics.,Not nutritious - My diet is poor and not balanced.,5-6 courses
117,2,1,2,3,3,3,3,1,2,0,1,0,1,2,4,Every two hours,Summarizing topics in my own words,Writing summaries or essays,Time management,4-6 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)",High,High,Very High,Extremely,Quite a bit,Extremely,Quite a bit,,Very frequently,Moderately affects my studying,Take a break/rest,"Good - I sleep well enough, but occasionally wake up feeling tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
116,4,1,4,3,4,5,4,4,4,4,3,2,2,3,1,I rarely take breaks during a study session,Other,I don't actively assess my understanding,Other (Please specify),More than 6 hours,Yes (Go to 2.10),Student government,,,,,,,,Quite a bit,Never,Slightly affects my studying,F. Other (Please specify),Very poor - I rarely have a good night's sleep and consistently wake up feeling unrested.,More than 9 hours,Not at all - My diet does not affect my academics.,Not nutritious - My diet is poor and not balanced.,More than 6 courses
115,2,1,2,2,2,0,1,3,2,2,2,1,0,2,1,Every two hours,Summarizing topics in my own words,Applying concepts to practical problems or case studies,Time management,More than 6 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)"", Volunteer work",High,Very High,Low,Moderately,Quite a bit,Quite a bit,Slightly,Slightly,Occasionally,Moderately affects my studying,Take medication,"Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
114,3,1,4,2,2,3,2,3,2,1,3,1,2,1,2,Every 30 minutes,Creating and reviewing flashcards,Discussing topics with peers or instructors,"Distractions (e.g., social media, noise)",Less than 1 hour,Yes (Go to 2.10),Music or Arts,,,,,,,Quite a bit,,Occasionally,Moderately affects my studying,Take a break/rest,"Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
113,3,3,3,3,2,3,1,1,3,2,3,2,1,3,0,Every hour,Creating and reviewing flashcards,I don't actively assess my understanding,Difficulty understanding the material,1-3 hours,No (Go to 3),Other (Please specify),,,High,,,,,,Rarely,Slightly affects my studying,Financial,"Average - My sleep is interrupted, and I sometimes wake up tired.",Less than 3 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
112,3,1,2,2,2,2,2,3,2,2,3,2,2,2,4,I rarely take breaks during a study session,Re-reading notes and textbooks,Discussing topics with peers or instructors,"Distractions (e.g., social media, noise)",4-6 hours,Yes (Go to 2.10),Student government,High,Very High,High,Quite a bit,Extremely,Quite a bit,Quite a bit,,Rarely,Moderately affects my studying,Take medication,"Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
111,4,2,3,1,4,3,1,3,1,2,3,3,2,2,4,Every hour,Creating and reviewing flashcards,Discussing topics with peers or instructors,"Distractions (e.g., social media, noise)",1-3 hours,No (Go to 3),Other (Please specify),,,,Quite a bit,,,,,Very frequently,Moderately affects my studying,Take a break/rest,"Good - I sleep well enough, but occasionally wake up feeling tired.",3-5 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
110,3,2,3,3,2,2,2,1,2,2,3,1,1,3,4,I rarely take breaks during a study session,Summarizing topics in my own words,"Discussing topics with peers or instructors, Writing summaries or essays",Time management,4-6 hours,Yes (Go to 2.10),Volunteer work,Moderate,High,High,Quite a bit,Extremely,Quite a bit,Quite a bit,Quite a bit,Occasionally,Slightly affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,More than 6 courses
109,1,3,1,2,2,3,4,3,2,2,2,3,2,3,0,Every two hours,Teaching the material to someone else,Writing summaries or essays,Difficulty understanding the material,4-6 hours,No (Go to 3),Other (Please specify),,,,Quite a bit,,,,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)",Poor - I frequently have difficulty sleeping and often wake up feeling tired.,Less than 3 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
108,3,2,1,3,2,2,1,2,3,3,3,2,2,2,4,Every two hours,Summarizing topics in my own words,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)",,,,,,Extremely,,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
107,3,1,2,2,2,1,2,1,2,4,1,2,2,2,4,Every two hours,Summarizing topics in my own words,Writing summaries or essays,"Distractions (e.g., social media, noise)",1-3 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)",Very High,High,High,Quite a bit,Extremely,Quite a bit,Quite a bit,Quite a bit,Occasionally,Moderately affects my studying,Take a break/rest,"Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
106,3,2,1,2,2,3,2,1,2,2,2,1,2,2,2,Every hour,Creating and reviewing flashcards,Discussing topics with peers or instructors,Procrastination,Less than 1 hour,Yes (Go to 2.10),Sports,,,,,Extremely,,,,Occasionally,Severely affects my studying,Take a break/rest,Very good - I sleep soundly and wake up feeling refreshed.,7-9 hours,Not at all - My diet does not affect my academics.,Moderately nutritious - My diet is somewhat balanced but could be better.,1-2 courses
105,2,2,1,2,3,4,4,2,3,4,3,1,4,2,2,Every two hours,Using mnemonic devices,"Discussing topics with peers or instructors, Writing summaries or essays","Procrastination, Lack of motivation",4-6 hours,Yes (Go to 2.10),"Music or Arts, Volunteer work",High,Very High,Very High,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Rarely,Moderately affects my studying,Take a break/rest,"Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Moderately nutritious - My diet is somewhat balanced but could be better.,More than 6 courses
104,1,3,2,1,3,2,1,1,1,1,2,3,2,2,0,Every 30 minutes,Summarizing topics in my own words,Applying concepts to practical problems or case studies,Time management,4-6 hours,No (Go to 3),Other (Please specify),,,,Moderately,,,,,Rarely,Does not affect my studying,Continue studying without taking any measures,"Average - My sleep is interrupted, and I sometimes wake up tired.",Less than 3 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
103,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,Every hour,Creating and reviewing flashcards,Discussing topics with peers or instructors,Difficulty understanding the material,4-6 hours,Yes (Go to 2.10),Volunteer work,,,,,Quite a bit,,,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
102,2,2,1,2,2,1,2,2,1,1,2,1,2,2,2,Every hour,Summarizing topics in my own words,Applying concepts to practical problems or case studies,"Distractions (e.g., social media, noise)",Less than 1 hour,Yes (Go to 2.10),"Clubs (e.g., debate, science)"", Student government",Very High,Moderate,Moderate,Quite a bit,Quite a bit,Extremely,Moderately,Slightly,Occasionally,Severely affects my studying,Take a break/rest,"Good - I sleep well enough, but occasionally wake up feeling tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
101,3,2,3,3,4,2,2,1,1,2,1,2,1,1,2,Every two hours,Creating and reviewing flashcards,Discussing topics with peers or instructors,"Distractions (e.g., social media, noise)",Less than 1 hour,Yes (Go to 2.10),Student government,High,,,,,,,,Occasionally,Moderately affects my studying,Take medication,"Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Very nutritious - My diet is well balanced and includes a variety of foods.,1-2 courses
100,1,2,1,3,2,2,3,3,1,2,2,1,2,4,1,Every two hours,Creating and reviewing flashcards,Discussing topics with peers or instructors,"Distractions (e.g., social media, noise)",1-3 hours,Yes (Go to 2.10),"Volunteer work, Student government",High,Very High,High,Extremely,Quite a bit,Extremely,Moderately,,Occasionally,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Average - My sleep is interrupted, and I sometimes wake up tired.",5-7 hours,Significantly - A good diet boosts my academic performance.,Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
99,3,2,3,3,3,3,2,2,2,3,3,2,3,4,0,Every two hours,Creating and reviewing flashcards,Discussing topics with peers or instructors,Difficulty understanding the material,1-3 hours,No (Go to 3),Other (Please specify),,,,Extremely,,,,,Rarely,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)",Very good - I sleep soundly and wake up feeling refreshed.,3-5 hours,Not at all - My diet does not affect my academics.,Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
98,3,3,3,2,3,2,3,2,2,3,2,1,3,2,2,Every hour,Creating and reviewing flashcards,Discussing topics with peers or instructors,"Distractions (e.g., social media, noise)",1-3 hours,Yes (Go to 2.10),"Clubs (e.g., debate, science)",,,,,,Extremely,,,Very frequently,Moderately affects my studying,"Use natural remedies (e.g., essential oils, herbal tea)","Good - I sleep well enough, but occasionally wake up feeling tired.",7-9 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,3-4 courses
97,2,1,2,0,2,1,4,4,4,2,1,3,2,3,3,Every hour,Summarizing topics in my own words,Discussing topics with peers or instructors,Lack of motivation,1-3 hours,No (Go to 3),,Very High,Moderate,Moderate,Slightly,Moderately,Extremely,Quite a bit,Moderately,Rarely,Does not affect my studying,Take medication,"Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Moderately - There's some impact, but it's not dramatic.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
96,2,2,2,2,2,2,3,3,3,2,2,2,2,1,4,Every hour,Summarizing topics in my own words,Discussing topics with peers or instructors,"Distractions (e.g., social media, noise)",1-3 hours,Yes (Go to 2.10),Music or Arts,,,High,Extremely,,,,,Occasionally,Slightly affects my studying,,Very good - I sleep soundly and wake up feeling refreshed.,7-9 hours,"Moderately - There's some impact, but it's not dramatic.",Moderately nutritious - My diet is somewhat balanced but could be better.,5-6 courses
95,3,2,3,2,3,3,2,3,3,2,1,2,3,2,3,Every two hours,Summarizing topics in my own words,Discussing topics with peers or instructors,Difficulty understanding the material,1-3 hours,No (Go to 3),Other (Please specify),,,,,,,Quite a bit,,Occasionally,Severely affects my studying,Take a break/rest,"Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,Significantly - A good diet boosts my academic performance.,Moderately nutritious - My diet is somewhat balanced but could be better.,1-2 courses
94,2,2,1,5,5,1,5,3,5,5,2,2,2,1,2,Every 30 minutes,"Re-reading notes and textbooks, Creating and reviewing flashcards, Teaching the material to someone else, Using mnemonic devices",I don't actively assess my understanding,"Lack of motivation, Time management","Less than 1 hour, 1-3 hours",Yes (Go to 2.10),"Volunteer work, Other (Please specify)",Moderate,Very High,Very High,Extremely,Quite a bit,Extremely,Moderately,Extremely,Rarely,Severely affects my studying,"Take medication, Take a break/rest","Good - I sleep well enough, but occasionally wake up feeling tired.",7-9 hours,Significantly - A good diet boosts my academic performance.,Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
93,2,1,2,2,1,1,2,2,2,2,3,1,3,2,4,Every two hours,Summarizing topics in my own words,Applying concepts to practical problems or case studies,Lack of motivation,1-3 hours,Yes (Go to 2.10),Music or Arts,High,High,Very High,Quite a bit,Extremely,Moderately,Moderately,,Never,Does not affect my studying,Continue studying without taking any measures,"Average - My sleep is interrupted, and I sometimes wake up tired.",3-5 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
92,2,1,2,2,2,1,4,3,3,3,1,2,1,2,0,I rarely take breaks during a study session,Teaching the material to someone else,Writing summaries or essays,Time management,More than 6 hours,Yes (Go to 2.10),Music or Arts,High,Very High,High,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very frequently,"Severely affects my studying, Moderately affects my studying, Slightly affects my studying","Take a break/rest, ""Use natural remedies (e.g., essential oils, herbal tea)","Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,Significantly - A good diet boosts my academic performance.,Moderately nutritious - My diet is somewhat balanced but could be better.,3-4 courses
91,3,2,3,3,2,2,2,2,3,3,2,2,2,2,2,Every hour,Creating and reviewing flashcards,Applying concepts to practical problems or case studies,Lack of motivation,4-6 hours,Yes (Go to 2.10),Music or Arts,,,Very High,,,,,,Very frequently,Moderately affects my studying,Take a break/rest,"Good - I sleep well enough, but occasionally wake up feeling tired.",5-7 hours,"Slightly - There's a slight impact, but it's hardly noticeable.",Somewhat nutritious - My diet lacks balance and variety.,5-6 courses
